Player,Tm,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Álex Abrines\abrinal01,OKC,SG,24,75,1134,9,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,,1.3,1,2.2,0.094,,-1.9,0.4,-1.5,0.1
Quincy Acy\acyqu01,BRK,PF,27,70,1359,8.2,0.525,0.8,0.164,3.1,17.1,10,6,1.2,1.6,13.3,14.4,,-0.1,1.1,1,0.036,,-2.6,0.1,-2.5,-0.2
Steven Adams\adamsst01,OKC,C,24,76,2487,20.6,0.63,0.003,0.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,,6.7,3,9.7,0.187,,1.7,-0.6,1.1,2
Bam Adebayo\adebaba01,MIA,C,20,69,1368,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11,1.2,2.5,13.6,15.9,,2.3,1.9,4.2,0.148,,-1.1,0.7,-0.4,0.6
Arron Afflalo\afflaar01,ORL,SG,32,53,682,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,,-0.1,0.2,0.1,0.009,,-3.8,-1.5,-5.4,-0.6
Cole Aldrich\aldrico01,MIN,C,29,21,49,6,0.34,0,0.4,7,28.6,17.6,8.2,2,1.8,5.4,16.8,,-0.1,0.1,0,-0.013,,-6.8,-0.7,-7.5,-0.1
LaMarcus Aldridge\aldrila01,SAS,C,32,75,2509,25,0.57,0.068,0.296,10.8,17.3,14,11.3,0.9,3,6.8,29.1,,7.4,3.5,10.9,0.209,,4.3,-0.4,3.9,3.7
Jarrett Allen\allenja01,BRK,C,19,72,1441,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,,2.7,1.5,4.2,0.141,,-0.9,0.1,-0.8,0.5
Kadeem Allen\allenka01,BOS,PG,25,18,107,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,,-0.2,0.1,-0.1,-0.038,,-8.3,0.6,-7.7,-0.2
Tony Allen\allento01,NOP,SF,36,22,273,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,,-0.2,0.2,0.1,0.017,,-5.2,-0.3,-5.5,-0.2
Al-Farouq Aminu\aminual01,POR,PF,27,69,2072,12,0.522,0.582,0.137,5.2,22.3,13.8,5.8,1.9,1.6,11.3,14.8,,0.9,3.2,4.2,0.097,,-0.7,1.1,0.4,1.3
Justin Anderson\anderju01,PHI,SF,24,38,519,13,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,,0.6,0.7,1.2,0.115,,-0.6,-0.3,-0.9,0.1
Kyle Anderson\anderky01,SAS,SF,24,74,1978,15.9,0.582,0.13,0.333,4.7,17.6,11.1,14.7,2.9,2.5,15.8,13.5,,2.4,3.8,6.2,0.151,,-0.4,3.3,2.9,2.4
Ryan Anderson\anderry01,HOU,PF,29,66,1725,12.6,0.592,0.706,0.194,6.2,15.4,10.8,5.1,0.7,1,7.5,14.4,,3.1,1.7,4.8,0.132,,0.9,-0.8,0.1,0.9
Ike Anigbogu\anigbik01,IND,C,19,11,30,21.6,0.558,0,0.667,19,15,16.9,0,1.7,8.9,14.7,20.3,,0.1,0,0.1,0.165,,1.8,0.1,1.9,0
Giannis Antetokounmpo\antetgi01,MIL,PF,23,75,2756,27.3,0.598,0.1,0.457,6.7,25.3,16,23.7,2,3.3,11.7,31.2,,8.3,3.6,11.9,0.207,,5.3,0.9,6.2,5.7
Carmelo Anthony\anthoca01,OKC,PF,33,78,2501,12.7,0.503,0.406,0.165,2.9,17.7,10,6.5,0.9,1.8,7.3,23.2,,1.2,2.5,3.7,0.071,,-0.6,-1.3,-1.9,0
OG Anunoby\anunoog01,TOR,SF,20,74,1481,10,0.587,0.569,0.179,3.4,10.4,7,5,1.7,0.8,10.8,12.4,,1.4,1.6,3,0.098,,-1.2,0.6,-0.6,0.5
Ryan Arcidiacono\arcidry01,CHI,PG,23,24,304,7.3,0.55,0.756,0.146,0.3,8.8,4.4,15.5,2.1,0,23,8.1,,0.1,0.2,0.3,0.04,,-4.7,0.6,-4.1,-0.2
Trevor Ariza\arizatr01,HOU,SF,32,67,2269,11.8,0.567,0.71,0.137,1.7,12.9,7.3,6.8,2.1,0.5,7,14.4,,2.6,2.8,5.3,0.113,,0,0.7,0.7,1.5
Darrell Arthur\arthuda01,DEN,PF,29,19,141,8.4,0.559,0.489,0.064,2.4,9.5,6,9.3,2.8,1.8,23.7,19.5,,-0.2,0.1,0,-0.011,,-4.8,-0.5,-5.3,-0.1
Jamel Artis\artisja01,ORL,SG,25,15,279,6.9,0.457,0.367,0.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,,-0.1,0.1,0,-0.006,,-3.8,-1.6,-5.4,-0.2
Ömer Aşık\asikom01,TOT,C,31,18,182,3.1,0.397,0,0.591,5.5,22.2,14,2.1,0.5,1.9,24.5,8.7,,-0.2,0.2,-0.1,-0.021,,-6.5,-1.5,-8,-0.3
Ömer Aşık\asikom01,NOP,C,31,14,121,4.5,0.423,0,0.75,6.5,26,16.6,2,0.4,1.3,19,9.4,,-0.1,0.1,0,0.008,,-5.6,-1.4,-7,-0.2
Ömer Aşık\asikom01,CHI,C,31,4,61,0.2,0.311,0,0.167,3.4,14.6,8.8,2.1,0.8,2.9,38.3,7.4,,-0.1,0,-0.1,-0.078,,-8.5,-1.5,-10,-0.1
D.J. Augustin\augusdj01,ORL,PG,30,75,1760,15.4,0.615,0.504,0.35,1.9,8.2,5,24.4,1.5,0,16.5,18.6,,3.3,0.8,4.1,0.11,,1,-1.2,-0.2,0.8
Luke Babbitt\babbilu01,TOT,SF,28,50,715,9.8,0.576,0.726,0.102,1.1,13.9,7.5,6.5,0.5,0.8,7.8,15,,0.5,0.4,0.9,0.06,,-0.9,-1.5,-2.4,-0.1
Luke Babbitt\babbilu01,ATL,SF,28,37,570,12,0.636,0.661,0.131,1,14.9,7.9,7,0.6,0.8,7.8,14.8,,0.9,0.3,1.1,0.094,,0.4,-1.1,-0.7,0.2
Luke Babbitt\babbilu01,MIA,SF,28,13,145,1.3,0.351,0.957,0,1.5,10.1,5.8,4.8,0.3,1.2,7.8,15.8,,-0.3,0.1,-0.2,-0.073,,-5.9,-3.3,-9.2,-0.3
Dwayne Bacon\bacondw01,CHO,SG,22,53,713,5.8,0.431,0.224,0.13,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,,-0.7,0.6,-0.1,-0.007,,-4.8,0.1,-4.7,-0.5
Ron Baker\bakerro01,NYK,SG,24,29,385,9.3,0.504,0.559,0.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10,,0.1,0.4,0.5,0.059,,-2.8,2.4,-0.4,0.2
Wade Baldwin\baldwwa01,POR,PG,21,7,80,16.6,0.748,0.238,0.476,1.4,9.5,5.5,9.8,1.2,1,13.6,16.1,,0.2,0.1,0.3,0.187,,0.2,1.7,1.9,0.1
Lonzo Ball\balllo01,LAL,PG,20,52,1780,12.5,0.444,0.523,0.126,4.2,17.3,10.8,29.2,2.4,2,18.6,17.4,,-0.5,2.5,2,0.053,,-0.7,1.6,1,1.3
J.J. Barea\bareajo01,DAL,PG,33,69,1603,17.8,0.545,0.454,0.148,1,13.4,7,45.1,1.1,0.2,16.3,24.9,,2.3,1,3.3,0.098,,2.7,-1.5,1.2,1.3
Harrison Barnes\barneha02,DAL,PF,25,77,2634,15.8,0.539,0.276,0.259,3.1,17.1,9.9,9.9,0.9,0.5,8.1,25.2,,2,1.9,3.8,0.07,,0.8,-1.3,-0.5,1
Will Barton\bartowi01,DEN,SG,27,81,2683,16.2,0.562,0.411,0.22,3,14.2,8.6,18.5,1.5,1.6,11.7,20.7,,4.4,1.8,6.2,0.111,,1.6,-0.4,1.1,2.1
Nicolas Batum\batumni01,CHO,SG,29,64,1981,14.4,0.523,0.422,0.2,3.1,13.8,8.4,26.2,1.6,1,15.6,18.3,,1.7,1.8,3.5,0.084,,0.5,-0.1,0.4,1.2
Jerryd Bayless\bayleje01,PHI,SG,29,39,925,7.5,0.546,0.557,0.168,1.8,7.3,4.7,8,1.2,0.5,14.1,15.1,,0.2,0.9,1.1,0.055,,-2.7,-0.2,-2.8,-0.2
Aron Baynes\baynear01,BOS,C,31,81,1485,12,0.502,0.047,0.175,9.7,22.1,16,9.6,0.7,2.9,14.3,16.8,,0.5,2.5,3,0.097,,-3.6,0.7,-2.9,-0.3
Kent Bazemore\bazemke01,ATL,SG,28,65,1789,14.5,0.547,0.405,0.297,1.6,13.9,7.7,20.1,2.7,2.2,17,22.5,,0.2,2,2.2,0.059,,-0.4,1,0.6,1.2
Bradley Beal\bealbr01,WAS,SG,24,82,2977,18.4,0.564,0.357,0.249,2.3,11.5,6.9,21,1.6,1.1,11.5,27.6,,4.4,2.5,6.9,0.111,,2.9,-0.7,2.2,3.1
Malik Beasley\beaslma01,DEN,SG,21,62,583,9,0.509,0.461,0.185,2.7,11,6.9,7.4,1.3,1,11.1,16.2,,0.1,0.3,0.3,0.028,,-2.4,-1.4,-3.8,-0.3
Michael Beasley\beaslmi01,NYK,PF,29,74,1653,17.8,0.556,0.107,0.197,6.5,21.2,13.9,12.5,1.1,2.3,14,26.9,,0.9,1.5,2.4,0.069,,0.6,-0.8,-0.2,0.7
Marco Belinelli\belinma01,TOT,SG,31,80,1947,14.1,0.581,0.517,0.213,1.1,7.3,4.3,11.9,1.6,0.5,10.1,20.7,,2.4,1.3,3.7,0.092,,0.4,-0.8,-0.5,0.8
Marco Belinelli\belinma01,ATL,SG,31,52,1210,14.1,0.554,0.509,0.225,1.3,7.9,4.6,13.5,1.9,0.2,9.2,21.2,,1.3,0.6,1.9,0.075,,0.6,-0.8,-0.2,0.5
Marco Belinelli\belinma01,PHI,SG,31,28,737,14.2,0.628,0.53,0.194,0.9,6.3,3.7,9.3,1.3,1,11.7,19.8,,1.1,0.7,1.8,0.119,,0,-0.8,-0.8,0.2
Jordan Bell\belljo01,GSW,C,23,57,809,18,0.641,0.022,0.238,8.9,19,14.3,16.9,2.1,5.5,20,13.9,,1.6,1.4,2.9,0.174,,0,2.8,2.8,1
DeAndre' Bembry\bembrde01,ATL,SF,23,26,455,7.6,0.477,0.234,0.258,2,15.7,8.8,15.9,2.3,2.3,24.8,18.2,,-0.9,0.5,-0.4,-0.04,,-5.1,0.3,-4.7,-0.3
Dragan Bender\bendedr01,PHO,PF,20,82,2069,7.1,0.524,0.665,0.105,2,16.8,9.3,8.9,0.5,2.1,18.1,12.7,,-0.7,0.8,0.1,0.001,,-2.9,-0.8,-3.7,-0.9
Dāvis Bertāns\bertada01,SAS,PF,25,77,1086,14.1,0.588,0.689,0.134,1.8,13.9,7.8,10.3,1.2,2.1,8.5,17.4,,1.6,1.4,3.1,0.135,,1,0.6,1.6,1
Patrick Beverley\beverpa01,LAC,SG,29,11,334,12.4,0.53,0.504,0.143,5.3,9.4,7.4,13.8,2.8,1.3,16.5,19.6,,0.1,0.3,0.4,0.056,,-0.3,0.8,0.5,0.2
Khem Birch\birchkh01,ORL,C,25,42,578,16.4,0.582,0,0.484,13.2,21.1,17.1,8.5,1.3,2.9,12.1,13.2,,1.2,0.6,1.8,0.15,,-0.7,-0.2,-0.9,0.2
Jabari Bird\birdja01,BOS,SG,23,13,115,12.1,0.615,0.269,0.5,5.8,12.2,9,10.5,1.3,0.7,20.1,15.4,,0.1,0.2,0.2,0.098,,-2.7,-0.4,-3.1,0
Bismack Biyombo\biyombi01,ORL,C,25,82,1495,14.1,0.556,0.003,0.446,10.5,24,17.2,6.5,0.7,5.1,16.6,14.9,,1.1,1.8,2.9,0.094,,-2.6,0.2,-2.4,-0.2
Nemanja Bjelica\bjeline01,MIN,PF,29,67,1371,12.6,0.581,0.493,0.121,4.4,18.8,11.5,8.7,1.8,1,11.7,14.3,,1.7,1.1,2.8,0.097,,-0.1,0.2,0.1,0.7
Tarik Black\blackta01,HOU,C,26,51,536,14.3,0.582,0.087,0.496,13.4,20.9,17.1,3.7,1.9,4.8,18.4,15.6,,0.5,1,1.5,0.136,,-3.7,1.2,-2.6,-0.1
Antonio Blakeney\blakean01,CHI,SG,21,19,314,10.1,0.471,0.364,0.273,1.3,10.3,5.6,10.1,1.1,0.3,6.4,23.7,,-0.2,0.1,0,-0.006,,-2.8,-2.4,-5.2,-0.3
Eric Bledsoe\bledser01,TOT,PG,28,74,2322,19.7,0.582,0.364,0.321,2.6,11.7,7.1,25.7,3.2,1.5,16.1,26.1,,3.1,2.5,5.6,0.116,,2.3,0.3,2.5,2.6
Eric Bledsoe\bledser01,PHO,PG,28,3,83,13,0.509,0.325,0.35,3.8,5.2,4.5,17.9,2.3,1.9,17.8,28.7,,-0.1,0,0,-0.028,,-0.7,-2.4,-3.2,0
Eric Bledsoe\bledser01,MIL,PG,28,71,2239,20,0.585,0.366,0.319,2.5,11.9,7.2,26,3.2,1.5,16,26,,3.2,2.4,5.7,0.121,,2.4,0.4,2.8,2.7
Vander Blue\blueva01,LAL,SG,25,5,45,-1.8,0.255,0.4,0.4,0,2.3,1.2,8.2,1.1,0,33.8,8.4,,-0.1,0,-0.1,-0.103,,-7.6,-0.7,-8.4,-0.1
Bogdan Bogdanović\bogdabo01,SAC,SG,25,78,2175,13.5,0.556,0.426,0.154,1.6,10.5,5.8,18.3,1.7,0.7,13.2,19.6,,1.8,1.1,2.9,0.064,,-0.6,-0.9,-1.5,0.3
Bojan Bogdanović\bogdabo02,IND,SF,28,80,2464,13.9,0.605,0.453,0.241,1.4,10.9,6.2,7.1,1.1,0.3,10.1,19,,3.8,1.6,5.4,0.105,,0.5,-1.2,-0.7,0.8
Andrew Bogut\bogutan01,LAL,C,33,24,216,10.9,0.696,0,0.08,12.9,25.4,19.2,9.1,0.9,4.9,42.3,8.8,,0.1,0.3,0.4,0.094,,-4.7,1.9,-2.8,-0.1
Joel Bolomboy\bolomjo01,MIL,PF,24,6,38,11.7,0.521,0.167,1,18.6,12.3,15.4,0,2.6,0,18.8,12.6,,0,0,0.1,0.079,,-2.6,-2.4,-5,0
Devin Booker\bookede01,PHO,SG,21,54,1865,18.1,0.561,0.364,0.312,1.5,12.7,7,24.4,1.2,0.6,13.9,31.7,,1.9,0.6,2.4,0.063,,2.9,-2,0.9,1.4
Trevor Booker\booketr01,TOT,PF,30,68,1158,14.9,0.557,0.096,0.271,11.1,18.6,14.9,10.8,1.2,1.5,13.3,16.6,,1.6,1.3,2.9,0.121,,-0.6,0,-0.6,0.4
Trevor Booker\booketr01,BRK,PF,30,18,395,15.4,0.536,0.08,0.287,10.1,22,16,16.2,1,0.9,15.1,21.8,,0.3,0.3,0.6,0.072,,-1.1,-0.5,-1.7,0
Trevor Booker\booketr01,PHI,PF,30,33,494,14.5,0.618,0.064,0.358,10.7,15.7,13.3,7.6,1.6,1.9,13.7,12.6,,1,0.7,1.7,0.163,,-0.3,0.9,0.7,0.3
Trevor Booker\booketr01,IND,PF,30,17,269,14.7,0.512,0.167,0.131,13.5,18.8,16.2,9,0.7,1.6,9.2,16.2,,0.4,0.2,0.7,0.118,,-0.3,-0.8,-1.1,0.1
Chris Boucher\bouchch01,GSW,PF,25,1,1,-28.5,0,1,0,0,100,55.9,0,0,0,0,43.9,,0,0,0,-0.899,,-21.7,-11.4,-33.1,0
Avery Bradley\bradlav01,TOT,SG,27,46,1433,9.6,0.496,0.325,0.131,1.7,7.3,4.5,10.4,1.8,0.5,13.3,23.5,,-1.4,1.2,-0.2,-0.007,,-3,-1,-4,-0.7
Avery Bradley\bradlav01,DET,SG,27,40,1268,9.7,0.497,0.34,0.14,1.6,6.7,4.1,10.5,1.8,0.5,13.3,24.4,,-1.4,1.1,-0.2,-0.009,,-2.8,-1.1,-3.9,-0.6
Avery Bradley\bradlav01,LAC,SG,27,6,165,9,0.492,0.164,0.036,2,12.5,7.3,9.8,1.5,0.5,12.5,16.7,,-0.1,0.1,0,0.009,,-4.1,-0.3,-4.4,-0.1
Tony Bradley\bradlto01,UTA,C,20,9,29,9.5,0.337,0.091,0.182,15.8,27.1,21.5,5,0,0,0,18.4,,0,0,0,0.033,,-3,-4.5,-7.5,0
Corey Brewer\breweco01,TOT,SF-SG,31,72,1208,11.2,0.534,0.348,0.285,3.8,10,6.9,7.5,3.2,1,12.1,14.3,,0.7,1.6,2.3,0.091,,-3.2,1.9,-1.3,0.2
Corey Brewer\breweco01,LAL,SF,31,54,694,8.9,0.509,0.25,0.297,3.6,10.7,7.1,8.1,2.8,0.9,16.3,14.2,,-0.2,0.9,0.7,0.048,,-4.7,1.6,-3.1,-0.2
Corey Brewer\breweco01,OKC,SG,31,18,514,14.2,0.565,0.465,0.271,4.2,9.2,6.6,6.7,3.7,1.1,6.4,14.4,,0.9,0.7,1.6,0.15,,-1.2,2.3,1.1,0.4
Malcolm Brogdon\brogdma01,MIL,PG,25,48,1436,14.3,0.578,0.32,0.169,1.9,10.8,6.4,16.3,1.4,0.8,10.9,19.1,,2,0.7,2.7,0.091,,-0.1,-1,-1.2,0.3
Aaron Brooks\brookaa01,MIN,PG,33,32,189,9.8,0.508,0.449,0.159,4.2,6.2,5.2,15.1,1.6,0,13,19.9,,0.1,0.1,0.1,0.033,,-2.6,-1.3,-3.8,-0.1
Dillon Brooks\brookdi01,MEM,SF,22,82,2350,9.8,0.531,0.342,0.215,2.4,10.5,6.3,9.3,1.6,0.7,12.8,18.5,,0.1,1.1,1.2,0.024,,-2.9,-1.1,-4,-1.2
MarShon Brooks\brookma01,MEM,SG,29,7,193,26.1,0.629,0.314,0.225,4.7,8,6.3,25.9,2.9,1.5,12.5,29.8,,0.6,0.2,0.7,0.179,,7.5,-0.4,7.1,0.4
Anthony Brown\brownan02,MIN,SF,25,1,4,41.9,1.5,1,0,0,0,0,41.7,0,0,0,11.1,,0,0,0,0.571,,26.2,4.3,30.5,0
Bobby Brown\brownbo02,HOU,PG,33,20,115,5.5,0.425,0.69,0.034,0,6.8,3.4,15,1.7,0,13.3,26.1,,-0.3,0.1,-0.2,-0.08,,-4.9,-2.3,-7.2,-0.2
Jaylen Brown\brownja02,BOS,SG,21,70,2152,13.6,0.562,0.381,0.29,3.4,14,8.8,8.5,1.6,1,12,21.4,,1.2,3.2,4.5,0.1,,-0.8,0.3,-0.5,0.8
Lorenzo Brown\brownlo01,TOR,PG,27,14,139,8.2,0.459,0.353,0.059,0.8,11.1,6,12.4,1.8,0,7.9,11.9,,0,0.1,0.2,0.06,,-3.9,1.5,-2.5,0
Markel Brown\brownma02,HOU,SG,26,4,31,-1.2,0.357,0.714,0,3.7,14.4,9.1,8.7,0,0,22.2,12.8,,-0.1,0,0,-0.063,,-8.8,-2,-10.8,-0.1
Sterling Brown\brownst02,MIL,SG,22,54,776,9.1,0.503,0.444,0.117,4.1,17.5,10.8,4.5,2,1.4,10.4,14,,0,0.7,0.7,0.043,,-2.8,-0.2,-3.1,-0.2
Nicolás Brussino\brussni01,ATL,SF,24,4,10,-4.6,0,1,0,0,33.5,16.7,0,0,0,0,8.7,,0,0,0,-0.18,,-8.1,-3.2,-11.3,0
Thomas Bryant\bryanth01,LAL,C,20,15,72,9.9,0.441,0.476,0.429,4.5,20.5,12.6,11.5,0.7,2.3,7.4,15.9,,0,0.1,0.1,0.05,,-3.1,-0.2,-3.3,0
Reggie Bullock\bullore01,DET,SF,26,62,1732,13.6,0.615,0.515,0.09,1.7,8.3,4.9,8.4,1.4,0.7,7.6,15.7,,2.8,1.4,4.2,0.117,,0.7,0,0.7,1.2
Trey Burke\burketr01,NYK,PG,25,36,785,21,0.563,0.273,0.148,1.8,8.2,5,36.4,1.5,0.4,9.5,25.1,,2,0.3,2.4,0.145,,3.9,-1.4,2.5,0.9
Alec Burks\burksal01,UTA,SG,26,64,1059,13.1,0.527,0.343,0.3,2.1,18.4,10.3,10,1.8,0.6,11.4,22.5,,0.2,1.6,1.9,0.084,,-1.3,0.4,-0.9,0.3
Jimmy Butler\butleji01,MIN,SG,28,59,2164,23.7,0.59,0.217,0.461,4.2,12.7,8.4,20.6,2.7,1,8.9,24.9,,7.1,1.8,8.9,0.198,,5,0.7,5.8,4.2
Dwight Buycks\buyckdw01,DET,PG,28,29,427,12.8,0.498,0.227,0.207,3,7.7,5.3,22.4,2.2,0.4,15.3,26.4,,-0.2,0.4,0.2,0.027,,-2.3,-0.7,-3.1,-0.1
Bruno Caboclo\cabocbr01,TOT,SF,22,12,107,7.4,0.386,0.548,0.194,7.1,16.6,11.7,5,1.4,3.5,10.6,15.8,,-0.1,0.1,0,-0.021,,-4.8,-1,-5.8,-0.1
Bruno Caboclo\cabocbr01,TOR,SF,22,2,7,-0.1,0,1,0,0,15.7,8,16.7,7,0,0,12.5,,0,0,0,-0.113,,-8.2,5.7,-2.6,0
Bruno Caboclo\cabocbr01,SAC,SF,22,10,100,7.9,0.411,0.517,0.207,7.6,16.6,12,4.2,1,3.8,11.2,16,,-0.1,0.1,0,-0.015,,-4.5,-1.5,-6.1,-0.1
José Calderón\caldejo01,CLE,PG,36,57,914,11.3,0.643,0.524,0.162,1.7,8.5,5.2,17.4,1.4,0.2,17.1,11.6,,1.5,0.3,1.8,0.095,,-1.4,-0.5,-1.9,0
Kentavious Caldwell-Pope\caldwke01,LAL,SG,24,74,2458,13.2,0.561,0.52,0.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,,2.6,2.7,5.3,0.103,,-0.4,0.6,0.3,1.4
Isaiah Canaan\canaais01,TOT,PG-SG,26,20,422,13.5,0.539,0.482,0.372,1.5,10,5.7,26.7,1.8,0.2,15.4,18.9,,0.5,0.1,0.6,0.072,,-0.5,-0.7,-1.3,0.1
Isaiah Canaan\canaais01,HOU,SG,26,1,4,-7.3,0,0,0,0,27.9,14.1,0,0,0,0,11,,0,0,0,-0.224,,-12.4,-4.5,-16.9,0
Isaiah Canaan\canaais01,PHO,PG,26,19,418,13.7,0.543,0.485,0.375,1.5,9.9,5.6,26.9,1.8,0.2,15.5,19,,0.5,0.1,0.7,0.075,,-0.4,-0.7,-1.1,0.1
Clint Capela\capelca01,HOU,C,23,74,2034,24.5,0.65,0.001,0.38,13.5,30.8,22.2,5.7,1.4,5.7,11.5,19.4,,6.2,4.1,10.2,0.242,,2.4,1,3.4,2.8
DeMarre Carroll\carrode01,BRK,PF,31,73,2180,14.3,0.55,0.498,0.313,5.1,18.4,11.7,10.5,1.3,1,10.3,19.8,,2.3,1.8,4.1,0.091,,0.5,-0.4,0.2,1.2
Vince Carter\cartevi01,SAC,SF,41,58,1026,10.8,0.523,0.583,0.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,,0.3,0.9,1.2,0.056,,-1.9,0.7,-1.2,0.2
Michael Carter-Williams\cartemi01,CHO,PG,26,52,835,10.8,0.446,0.258,0.389,4.7,13.3,8.9,19.4,2.6,2.3,16.2,16.6,,-0.2,1.1,0.9,0.05,,-3.3,1.8,-1.5,0.1
Alex Caruso\carusal01,LAL,PG,23,37,562,8.7,0.519,0.371,0.259,2.9,9.4,6.2,17.8,2,1.4,24.5,12.9,,-0.1,0.6,0.5,0.041,,-3.8,0.9,-2.9,-0.1
Omri Casspi\casspom01,GSW,SF,29,53,740,15.5,0.632,0.106,0.333,4.9,24,15.1,9.5,1.2,2,13.5,16.3,,1.2,1,2.2,0.141,,-0.9,0,-0.9,0.2
