Player,Tm,Pos,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
Willie Cauley-Stein\caulewi01,SAC,C,24,73,2044,17.6,0.529,0.016,0.32,7,22,14.2,13.7,1.9,3.1,11,21.8,,1.7,2.2,3.9,0.092,,-0.4,0.3,-0.1,1
Tyler Cavanaugh\cavanty01,ATL,PF,23,39,518,13,0.567,0.586,0.138,9.7,17.7,13.7,7.8,0.8,0.7,8,14.8,,0.9,0.3,1.2,0.109,,-0.4,-1.5,-1.9,0
Mario Chalmers\chalmma01,MEM,PG,31,66,1421,10.4,0.503,0.431,0.312,1,12,6.4,21.5,2.8,0.9,18.8,19.6,,-0.6,1.3,0.6,0.021,,-3.7,0.5,-3.2,-0.4
Tyson Chandler\chandty01,PHO,C,35,46,1151,14.2,0.658,0,0.497,12.2,26.8,19.4,6.6,0.7,1.9,20.6,10.6,,1.9,0.8,2.7,0.111,,-0.8,-0.6,-1.4,0.2
Wilson Chandler\chandwi01,DEN,SF,30,74,2346,10.9,0.542,0.39,0.181,4.9,14.1,9.6,9.4,0.9,1.4,11.9,14.3,,2.1,1.2,3.3,0.067,,-1,-1.1,-2.1,-0.1
Marquese Chriss\chrisma01,PHO,PF,20,72,1527,11.1,0.509,0.398,0.331,5.2,22.7,13.8,8.1,1.6,3.7,16.4,18.1,,-0.8,1.5,0.7,0.023,,-3.2,0.4,-2.8,-0.3
Ian Clark\clarkia01,NOP,SG,26,74,1455,9.4,0.529,0.394,0.119,0.8,8.4,4.7,10.4,1.1,0.5,9.9,17.2,,0.3,0.8,1.1,0.037,,-2.7,-0.8,-3.5,-0.6
Jordan Clarkson\clarkjo01,TOT,SG,25,81,1888,16.4,0.542,0.333,0.199,3.3,9.1,6.2,19.3,1.5,0.3,10.9,26.5,,1.9,1.2,3,0.077,,1.5,-1.4,0.1,1
Jordan Clarkson\clarkjo01,LAL,SG,25,53,1256,16.9,0.532,0.315,0.198,3.8,9.7,6.7,22.9,1.5,0.2,11.6,27.7,,1.1,1,2.1,0.08,,1.9,-1.1,0.8,0.9
Jordan Clarkson\clarkjo01,CLE,SG,25,28,632,15.4,0.565,0.376,0.202,2.3,7.9,5.1,12,1.5,0.4,9.3,24.1,,0.8,0.2,1,0.073,,0.5,-1.8,-1.3,0.1
Gian Clavell\clavegi01,DAL,SG,24,7,64,7.4,0.53,0.833,0.111,1.7,10.8,6.1,6.7,1.6,0,9.6,14.8,,0,0,0.1,0.042,,-2.7,0.5,-2.2,0
Antonius Cleveland\clevean01,TOT,SG,23,17,123,4.5,0.486,0.19,0.286,2.7,10.2,6.3,2.2,2.8,3.6,22.8,11.1,,-0.2,0.2,0,-0.006,,-7.6,2.4,-5.2,-0.1
Antonius Cleveland\clevean01,DAL,SG,23,13,81,5.1,0.317,0.071,0.286,2.6,11.4,6.9,3.3,3.7,4.4,11.3,10,,-0.1,0.1,0,-0.005,,-7.3,4,-3.3,0
Antonius Cleveland\clevean01,ATL,SG,23,4,42,3.5,0.825,0.429,0.286,2.7,8,5.3,0,1.2,2,38.8,13.4,,0,0,0,-0.009,,-8.3,-0.7,-9,-0.1
John Collins\collijo01,ATL,PF,20,74,1785,18.3,0.62,0.086,0.341,11,22.8,16.9,8.9,1.3,3.8,14.3,17.9,,3.4,2,5.4,0.145,,-0.4,0.2,-0.2,0.8
Zach Collins\colliza01,POR,C,20,66,1045,7.5,0.475,0.391,0.145,4.7,18.2,11.5,7.1,0.8,2.4,15.9,15.4,,-0.7,1.3,0.6,0.03,,-4.5,0.2,-4.3,-0.6
Kyle Collinsworth\colliky01,DAL,SF,26,32,480,10,0.433,0.172,0.404,7.2,18,12.4,16.4,1.8,1.7,17.1,13.3,,-0.1,0.5,0.5,0.046,,-3.6,0.9,-2.6,-0.1
Darren Collison\collida01,IND,PG,30,69,2018,18.8,0.61,0.321,0.226,2.1,7.8,5,26.4,2.3,0.7,10.9,17.4,,5.8,1.8,7.6,0.181,,2.4,0.3,2.7,2.4
Nick Collison\collini01,OKC,PF,37,15,75,13.2,0.627,0,0.684,10,19.9,14.8,8.2,0,0,22.1,18.2,,0.1,0,0.1,0.064,,-2.3,-1.9,-4.2,0
Mike Conley\conlemi01,MEM,PG,30,12,373,15.4,0.52,0.458,0.393,0,8.6,4.2,22.2,1.6,0.8,8.4,25.9,,0.4,0.2,0.6,0.077,,1.3,-0.8,0.5,0.2
Pat Connaughton\connapa01,POR,SG,25,82,1488,9.3,0.539,0.538,0.113,2.7,9.1,5.9,8.7,0.8,1.2,9.5,13.4,,1.2,1.3,2.5,0.08,,-1.7,-0.1,-1.8,0.1
Quinn Cook\cookqu01,GSW,PG,24,33,740,12.8,0.593,0.413,0.099,1.6,10.2,6.2,16.6,0.8,0.1,10.8,17.5,,1.1,0.4,1.6,0.101,,-0.1,-1.5,-1.6,0.1
Charles Cooke\cookech01,NOP,SG,23,13,38,-5.1,0.202,0.571,0.143,0,5.5,2.9,3.2,1.3,0,6.3,18.1,,-0.2,0,-0.2,-0.239,,-10.4,-4,-14.4,-0.1
Jack Cooley\cooleja01,SAC,PF,26,7,87,19.7,0.566,0,0.704,17.6,21.9,19.6,10.5,0.6,0,7.8,19.8,,0.3,0,0.3,0.182,,0.9,-1.4,-0.6,0
Matt Costello\costema01,SAS,C,24,4,32,9.7,0.5,0,0,3.4,27.9,15.6,8.3,3.2,5.2,20,7,,0,0.1,0.1,0.127,,-6,5.3,-0.7,0
DeMarcus Cousins\couside01,NOP,C,27,48,1737,22.6,0.583,0.34,0.456,6.8,30.9,19.2,23,2.2,3.5,18.9,31.9,,1.5,3.2,4.7,0.13,,2.5,2.2,4.7,2.9
Robert Covington\covinro01,PHI,SF,27,80,2532,12.9,0.563,0.658,0.163,2.4,15.5,9.2,8.7,2.6,2.4,12.3,17.2,,1.6,4.5,6.1,0.116,,-0.2,1.7,1.5,2.3
Allen Crabbe\crabbal01,BRK,SG,25,75,2197,12.3,0.558,0.643,0.163,1.3,14.4,7.8,8.4,1,1.2,8.1,19,,1.8,1.4,3.2,0.07,,0,-0.7,-0.7,0.7
Torrey Craig\craigto01,DEN,SF,27,39,629,9.8,0.535,0.423,0.255,7.2,15.5,11.4,5.4,0.9,2,11.6,11.9,,0.5,0.4,0.9,0.069,,-2.2,-0.7,-2.9,-0.1
Jamal Crawford\crawfja01,MIN,SG,37,80,1653,13,0.519,0.423,0.152,1.4,5.5,3.5,16.9,1.2,0.5,10.7,23.7,,0.9,0.3,1.3,0.037,,0.1,-2.5,-2.3,-0.1
Jordan Crawford\crawfjo02,NOP,SG,29,5,53,19.1,0.601,0.519,0.037,4.2,4,4.1,37.7,0.9,1.5,15.4,26.5,,0.1,0,0.2,0.15,,4.9,-0.7,4.2,0.1
Jae Crowder\crowdja01,TOT,SF,27,80,2090,10.4,0.525,0.508,0.221,3.2,11.5,7.4,6.9,1.5,0.9,9.1,17.3,,1,1.6,2.6,0.06,,-1.9,-0.6,-2.5,-0.3
Jae Crowder\crowdja01,CLE,SF,27,53,1346,10.2,0.545,0.503,0.245,3.5,10.8,7.2,6,1.5,0.8,9.2,15.1,,1.1,0.6,1.7,0.059,,-1.9,-1,-3,-0.3
Jae Crowder\crowdja01,UTA,SF,27,27,744,10.8,0.499,0.515,0.19,2.8,12.7,7.8,8.6,1.6,1,9.1,21.3,,-0.1,1,0.9,0.06,,-1.9,0.2,-1.7,0.1
Dante Cunningham\cunnida01,TOT,SF,30,73,1562,10,0.539,0.462,0.143,5.5,14.9,10.3,4.3,1.2,1.5,7.9,11.6,,1.1,1.3,2.4,0.074,,-1.5,-0.2,-1.7,0.1
Dante Cunningham\cunnida01,NOP,SF,30,51,1115,8.4,0.525,0.48,0.16,5,13.4,9.4,3,1.2,1.1,6.2,10,,0.7,0.9,1.6,0.067,,-1.9,-0.1,-2,0
Dante Cunningham\cunnida01,BRK,SF,30,22,447,13.8,0.561,0.432,0.115,6.6,18.5,12.5,7.6,1.3,2.3,10.4,15.8,,0.4,0.4,0.9,0.092,,-0.6,-0.4,-0.9,0.1
Stephen Curry\curryst01,GSW,PG,29,51,1631,28.2,0.675,0.58,0.35,2.7,14.4,9,30.3,2.4,0.4,13.3,31,,7.2,1.9,9.1,0.267,,7.8,0,7.7,4
Troy Daniels\danietr01,PHO,SG,26,79,1622,9.8,0.583,0.797,0.111,0.8,7.7,4.2,4.5,0.8,0.2,8.5,17.2,,1.4,0,1.4,0.042,,-0.5,-2.1,-2.6,-0.3
Anthony Davis\davisan02,NOP,PF,24,75,2727,28.9,0.612,0.111,0.409,7.7,24.8,16.5,10.8,2,5.6,8.6,30,,8.8,4.9,13.7,0.241,,5.3,1.4,6.7,5.9
Deyonta Davis\davisde01,MEM,C,21,62,943,16.6,0.621,0,0.215,9,22,15.3,7.1,0.8,3.9,9.9,15.3,,1.9,0.8,2.7,0.138,,-0.9,-0.6,-1.5,0.1
Ed Davis\davised01,POR,C,28,78,1471,15.5,0.607,0.003,0.38,13.7,28.8,21.3,3.9,1.1,2.9,16.2,12.1,,2.5,2.5,5,0.164,,-1.2,0.6,-0.6,0.5
Dewayne Dedmon\dedmode01,ATL,C,28,62,1542,15.8,0.599,0.296,0.18,7.2,28.1,17.7,9.2,1.3,2.8,14.3,17,,1.8,1.9,3.7,0.114,,-0.4,0.5,0.1,0.8
Sam Dekker\dekkesa01,LAC,PF,23,73,883,11.5,0.534,0.232,0.216,5.6,16,10.8,6.2,1.3,0.9,10.4,15.5,,0.6,0.6,1.2,0.066,,-2.3,-0.6,-2.9,-0.2
Malcolm Delaney\delanma01,ATL,PG,28,54,1014,10.6,0.519,0.435,0.323,1,10,5.5,23.4,1.7,0.5,16.9,16.9,,0.4,0.6,1,0.047,,-2.2,-0.4,-2.6,-0.1
Matthew Dellavedova\dellama01,MIL,PG,27,38,712,8.6,0.5,0.513,0.178,2.3,8.2,5.3,27.4,1,0,23,13.5,,0.3,0.2,0.5,0.032,,-2.4,-2,-4.4,-0.4
Luol Deng\denglu01,LAL,SF,32,1,13,5.5,0.5,0,0,0,0,0,10.1,3.7,0,33.3,9.8,,0,0,0,-0.018,,-5.3,2.4,-2.9,0
DeMar DeRozan\derozde01,TOR,SG,28,80,2711,21,0.555,0.203,0.396,2.5,10.4,6.5,25,1.5,0.6,9.5,29.6,,6.8,2.8,9.6,0.17,,3.3,-0.6,2.8,3.2
Cheick Diallo\diallch01,NOP,PF,21,52,581,17,0.619,0,0.375,9.1,29.6,19.7,4.7,0.9,2.9,12,17.4,,1.1,0.8,1.9,0.157,,-1.3,0.1,-1.2,0.1
Gorgui Dieng\dienggo01,MIN,C,28,79,1333,14.7,0.543,0.157,0.263,9.1,22.2,15.6,7.5,1.7,2.6,12,16.3,,1.6,1.4,2.9,0.105,,-0.9,-0.1,-1,0.3
Spencer Dinwiddie\dinwisp01,BRK,PG,24,80,2306,15.9,0.527,0.517,0.32,1.8,10.2,6,35,1.4,0.7,11.8,20.3,,4.3,1.4,5.7,0.118,,1.3,-0.7,0.6,1.5
Tyler Dorsey\dorsety01,ATL,SG,21,56,974,10,0.494,0.521,0.165,1.9,12.9,7.4,12.5,0.9,0.4,8.3,20,,0,0.4,0.4,0.02,,-1.4,-1.5,-2.9,-0.2
Damyean Dotson\dotsoda01,NYK,SG,23,44,474,11.6,0.532,0.422,0.143,2.1,17.5,9.8,9.5,1.3,0.4,9,17.3,,0.3,0.3,0.6,0.06,,-1.6,-0.6,-2.3,0
Milton Doyle\doylemi01,BRK,SG,24,10,125,5.2,0.337,0.489,0.17,2.5,12.9,7.6,11.7,2.3,1.2,3.8,18.2,,-0.3,0.1,-0.1,-0.052,,-6.6,-0.2,-6.8,-0.1
PJ Dozier\doziepj01,OKC,PG,21,2,3,-5,0.5,0,0,0,38.3,18.5,0,0,0,33.3,42.9,,0,0,0,-0.404,,-17.7,-2.7,-20.4,0
Goran Dragić\dragigo01,MIA,PG,31,75,2378,16.6,0.543,0.279,0.252,2.5,11.9,7.2,25.4,1.3,0.4,12.2,25.7,,2.9,2.3,5.3,0.106,,0.9,-0.6,0.3,1.4
Larry Drew II\drewla02,TOT,PG,27,10,70,2.9,0.354,0.375,0,4.8,0,2.3,18.5,0,0,11.1,16.6,,-0.1,0,-0.1,-0.061,,-5.6,-3.4,-9,-0.1
Larry Drew II\drewla02,PHI,PG,27,3,15,-9.4,0.143,0.429,0,7.5,0,3.6,17.1,0,0,12.5,22.8,,-0.1,0,-0.1,-0.299,,-15.2,-7.4,-22.6,-0.1
Larry Drew II\drewla02,NOP,PG,27,7,55,6.3,0.441,0.353,0,4.1,0,2,18.9,0,0,10.5,15,,0,0,0,0.003,,-3,-2.3,-5.3,0
Andre Drummond\drumman01,DET,C,24,78,2625,22.9,0.555,0.012,0.448,16.4,36.4,26.2,14.3,2.2,4.3,15.9,21.2,,4.6,5.7,10.3,0.189,,1.5,1.7,3.2,3.4
Jared Dudley\dudleja01,PHO,PF,32,48,686,8.8,0.553,0.656,0.287,1.2,13.6,7.3,15.6,1.7,1.3,16.9,10.2,,0.5,0.4,0.8,0.058,,-3,0.5,-2.5,-0.1
Kris Dunn\dunnkr01,CHI,PG,23,52,1525,14.5,0.488,0.201,0.171,1.6,14.4,7.8,33.3,3.3,1.6,17.3,24.7,,-1,1.9,0.9,0.027,,-2.4,1.1,-1.3,0.3
Kevin Durant\duranke01,GSW,SF,29,68,2325,26,0.64,0.338,0.331,1.6,19.5,11.2,25.5,1,4,12.9,30.4,,7.5,2.9,10.4,0.215,,6.7,0.6,7.3,5.5
Jarell Eddie\eddieja01,TOT,SF,26,3,9,-1.9,0,1,0,0,12,6.1,0,5.6,0,0,9.8,,0,0,0,-0.142,,-9.1,0.8,-8.3,0
Jarell Eddie\eddieja01,BOS,SF,26,2,6,4,0,1,0,0,18,9.1,0,8.3,0,0,7.4,,0,0,0,-0.026,,-7,5.6,-1.3,0
Jarell Eddie\eddieja01,CHI,SF,26,1,3,-13.5,0,1,0,0,0,0,0,0,0,0,14.5,,0,0,0,-0.373,,-13.3,-8.8,-22.1,0
Henry Ellenson\ellenhe01,DET,PF,21,38,329,10.5,0.476,0.411,0.199,3.3,24.3,13.6,9.4,0.8,0,10.2,23.8,,-0.2,0.4,0.1,0.02,,-2.6,-1.9,-4.4,-0.2
Wayne Ellington\ellinwa01,MIA,SG,30,77,2041,12.5,0.588,0.827,0.111,1.3,10.7,6,5.9,1.3,0.3,6.6,17.3,,2.6,1.9,4.5,0.105,,1,-0.6,0.4,1.2
Joel Embiid\embiijo01,PHI,C,23,63,1912,22.9,0.573,0.203,0.442,8.4,29.7,19.4,18,1,4.8,15.6,33.4,,2.3,3.8,6.2,0.155,,2,1.3,3.3,2.6
James Ennis\ennisja01,TOT,SF,27,72,1604,11.6,0.588,0.398,0.302,5.1,11,8,6.6,1.5,1,11.4,13.7,,2,1.1,3.1,0.092,,-1.1,-0.1,-1.2,0.3
James Ennis\ennisja01,MEM,SF,27,45,1053,11.9,0.61,0.378,0.329,5.7,11.7,8.6,7,1.5,1.1,13,12.5,,1.5,0.6,2,0.093,,-0.5,-0.1,-0.6,0.4
James Ennis\ennisja01,DET,SF,27,27,551,11.2,0.558,0.426,0.265,3.9,9.6,6.7,5.9,1.4,1,9,16,,0.5,0.5,1,0.09,,-2.2,-0.2,-2.3,-0.1
Tyler Ennis\ennisty01,LAL,PG,23,54,683,11.1,0.473,0.25,0.129,3,11.8,7.4,21.9,2.1,1.2,13.8,17.1,,0.1,0.7,0.8,0.058,,-3,0.9,-2.1,0
Jawun Evans\evansja01,LAC,PG,21,48,778,7.2,0.421,0.213,0.194,1.3,10.4,5.9,17.8,2.3,0.6,13.8,17.7,,-0.8,0.6,-0.2,-0.011,,-5.4,0.4,-5,-0.6
Jeremy Evans\evansje01,ATL,SF,30,1,5,10.4,1,0,0,22.3,0,11.2,0,0,0,50,17.5,,0,0,0,-0.028,,-5.7,-4.2,-9.9,0
Tyreke Evans\evansty01,MEM,PG,28,52,1607,21.1,0.561,0.354,0.258,3.1,16.3,9.5,31.2,1.8,1,11.5,28.4,,3.1,1.2,4.2,0.126,,4.9,-0.5,4.5,2.6
Dante Exum\exumda01,UTA,PG,22,14,235,16.7,0.566,0.207,0.356,2,10.5,6.3,29.7,1.7,1.1,16.6,23.1,,0.3,0.3,0.7,0.133,,-0.3,0.4,0.1,0.1
Kenneth Faried\farieke01,DEN,PF,28,32,461,17.4,0.552,0.007,0.345,16.7,20.7,18.7,5.8,1.3,2.4,11.9,18.3,,0.9,0.4,1.3,0.132,,-0.3,-1.7,-2.1,0
Derrick Favors\favorde01,UTA,C,26,77,2153,18.8,0.593,0.09,0.306,10.6,18.5,14.6,7.8,1.3,3.2,9.9,18.5,,4.5,3.5,8,0.179,,0.9,0.7,1.5,1.9
Kay Felder\feldeka01,TOT,PG,22,16,140,3.6,0.379,0.271,0.171,2.3,12,6.9,22,1,0.6,17.5,28.4,,-0.6,0.1,-0.5,-0.175,,-7.7,-3.4,-11.1,-0.3
Kay Felder\feldeka01,CHI,PG,22,14,134,3.6,0.386,0.273,0.182,0.8,10.8,5.6,23,1.1,0.7,17.4,28,,-0.5,0.1,-0.5,-0.168,,-7.4,-3.2,-10.7,-0.3
Kay Felder\feldeka01,DET,PG,22,2,6,2,0.25,0.25,0,36,37.6,36.8,0,0,0,20,36.9,,0,0,0,-0.336,,-12.9,-8.5,-21.4,0
Cristiano Felício\feliccr01,CHI,C,25,55,977,12.5,0.614,0.009,0.377,8.8,17.1,12.8,8.4,0.8,1,17.7,13.6,,1.2,0.5,1.7,0.086,,-2.8,-1.1,-3.9,-0.5
Raymond Felton\feltora01,OKC,PG,33,82,1365,13,0.494,0.417,0.08,2,11,6.3,22.5,1.8,1.1,11.7,20.4,,0.9,1.3,2.2,0.078,,-0.3,-0.3,-0.6,0.5
Terrance Ferguson\fergute01,OKC,SG,19,61,763,7.4,0.545,0.71,0.059,2.7,4.2,3.4,3.4,1.6,1.2,6,10.4,,0.7,0.5,1.2,0.077,,-3.2,-0.1,-3.3,-0.3
Yogi Ferrell\ferreyo01,DAL,SG,24,82,2282,11.4,0.54,0.492,0.141,1.2,11.2,6.1,13.5,1.4,0.4,9.1,17,,1.5,1.5,3,0.064,,-1.3,0,-1.4,0.4
Dorian Finney-Smith\finnedo01,DAL,PF,24,21,448,7.6,0.482,0.554,0.124,5.3,13.6,9.3,8.4,1.1,0.8,14.1,15.1,,-0.2,0.3,0.1,0.015,,-3.8,-0.8,-4.6,-0.3
Bryn Forbes\forbebr01,SAS,SG,24,80,1517,9.1,0.525,0.459,0.145,0.9,7.2,4,7.8,0.9,0.1,6.5,16.7,,0.8,1.3,2.1,0.067,,-2.5,-0.6,-3.1,-0.4
Evan Fournier\fournev01,ORL,SF,25,57,1837,15.5,0.577,0.418,0.216,1.4,9.5,5.4,14.8,1.3,0.7,9.8,23.3,,2.4,0.9,3.3,0.087,,0.8,-1.4,-0.6,0.7
De'Aaron Fox\foxde01,SAC,PG,20,73,2026,11.2,0.478,0.192,0.245,1.8,10,5.7,24.6,1.7,0.9,16.4,23.4,,-1.7,1.1,-0.6,-0.014,,-2.7,-1.5,-4.2,-1.1
Tim Frazier\fraziti01,WAS,PG,27,59,838,11.3,0.475,0.326,0.174,2.4,13.1,7.8,31.1,2.8,0.7,23.5,12.8,,0.4,1,1.4,0.08,,-2.8,1.8,-0.9,0.2
Channing Frye\fryech01,TOT,C,34,53,695,13.1,0.599,0.542,0.09,1.9,19.4,10.8,7.9,1.3,1.6,8.7,15.2,,0.9,0.6,1.5,0.101,,-0.5,0,-0.5,0.3
Channing Frye\fryech01,CLE,C,34,44,545,13.9,0.604,0.533,0.089,2.1,20.3,11.3,7.5,1.5,1.9,8.8,15.6,,0.7,0.5,1.2,0.104,,-0.4,0.1,-0.3,0.3
Channing Frye\fryech01,LAL,C,34,9,150,10.2,0.581,0.581,0.093,1.4,16.2,8.9,9.5,0.3,0.5,8.2,13.8,,0.2,0.1,0.3,0.091,,-1,-0.5,-1.5,0
Markelle Fultz\fultzma01,PHI,SG,19,14,253,12.4,0.416,0.009,0.189,4.9,13.1,9.2,31.3,2.3,1.3,12.4,23.1,,-0.2,0.4,0.2,0.043,,-3.3,0.7,-2.6,0
Danilo Gallinari\gallida01,LAC,SF,29,21,671,13.8,0.545,0.434,0.34,1.5,14.9,8.3,8.9,0.9,1.2,8.1,20.6,,0.8,0.4,1.2,0.088,,0.4,-0.9,-0.5,0.3
Langston Galloway\gallola01,DET,SG,26,58,863,12.2,0.503,0.641,0.121,1.6,10.3,5.9,10.1,2,0.5,4.8,19.3,,0.5,0.9,1.4,0.08,,-0.2,0.2,0.1,0.5
Marc Gasol\gasolma01,MEM,C,33,73,2408,17.4,0.532,0.31,0.326,3.7,25.3,14.2,21.7,1.1,3.9,14.1,25.6,,1.5,2.6,4,0.08,,1.7,0.6,2.3,2.7
Pau Gasol\gasolpa01,SAS,C,37,77,1812,18.9,0.539,0.191,0.333,7.8,30.2,19,20.1,0.7,3.6,13.1,20.4,,2.7,3.3,6,0.159,,1.5,1.9,3.4,2.5
Rudy Gay\gayru01,SAS,PF,31,57,1231,18,0.545,0.22,0.27,6.8,19.5,13.1,9.8,1.9,2.6,11.5,24.6,,1,2.1,3.1,0.122,,0.2,0.6,0.8,0.9
Paul George\georgpa01,OKC,SF,27,79,2891,18.7,0.57,0.454,0.307,2.7,14.9,8.6,14.5,2.8,1.2,12.2,25.7,,5,3.9,8.9,0.147,,2.3,0.6,2.9,3.6
Marcus Georges-Hunt\georgma01,MIN,SG,23,42,224,6.9,0.515,0.313,0.438,3.6,4.7,4.1,4.1,1.3,0,5,11.9,,0.2,0,0.2,0.049,,-4.3,-0.9,-5.1,-0.2
Jonathan Gibson\gibsojo01,BOS,PG,30,4,40,25.4,0.739,0.522,0,0,8.1,4.1,22.6,0,0,11.5,29,,0.1,0,0.2,0.195,,4.9,-0.8,4.1,0.1
Taj Gibson\gibsota01,MIN,PF,32,82,2726,15.4,0.61,0.047,0.251,8.1,16.7,12.4,5.2,1.1,1.9,9.8,14.7,,5.4,1.7,7.2,0.126,,0.1,-0.7,-0.5,1
Manu Ginóbili\ginobma01,SAS,SG,40,65,1299,12.9,0.553,0.415,0.283,1.6,10.6,6.1,19.1,1.7,1,16.8,21.5,,0.6,1.6,2.2,0.082,,-1.5,0.2,-1.3,0.2
Rudy Gobert\goberru01,UTA,C,25,56,1816,20.7,0.657,0,0.673,10.4,27,18.8,6.9,1.2,6,15.7,16.9,,4.2,3.9,8.1,0.214,,0.9,2.5,3.4,2.5
Aaron Gordon\gordoaa01,ORL,PF,22,58,1909,16.5,0.53,0.395,0.26,5,21.5,13.2,11.7,1.5,1.9,10,24.7,,0.9,2,2.9,0.072,,0.9,-0.6,0.3,1.1
Eric Gordon\gordoer01,HOU,SG,29,69,2154,15.2,0.578,0.627,0.248,1.3,7.5,4.4,11.7,1,1.1,10.8,24.7,,2.9,1.8,4.7,0.105,,2,-1.6,0.4,1.3
Marcin Gortat\gortama01,WAS,C,33,82,2075,14.7,0.546,0,0.291,9.9,24,17,10.6,1,2.6,13.5,15.5,,2.4,2.4,4.9,0.113,,-0.8,0.3,-0.6,0.8
Treveon Graham\grahatr01,CHO,SG,24,63,1050,9,0.553,0.439,0.267,4.3,8.3,6.2,7.8,1.5,0.2,9.9,11.3,,1.1,0.7,1.8,0.08,,-2.8,0.1,-2.7,-0.2
